,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3,clean_content
4245,"According to the construction rule in (38), however, these connectives require two formulae at a time to make a formula, not one.",155,137,5 The Lambda Operator,No info,No info,construction rule connective formula time formula one
4246,"There is thus no simple translation of rule 19G2 in (36.b), since expressions like",155,137,5 The Lambda Operator,No info,No info,simple translation rule expression
4247,(& S') are not well-formed in LP.,155,137,5 The Lambda Operator,No info,No info,
4248,"It is possible, however, to use lambda abstraction to help out here, so that instead of translating and simply as &, or as v , if as —> and if, and only if as <-» , we can translate them as complex lambda expressions that combine with one formula at a time.",155,137,5 The Lambda Operator,No info,No info,possible lambda abstraction help translating complex lambda expression formula time
4249,"In order to obtain appropriate translations of the conjunctions, we first replace each of the formulae that they combine with by a different propositional variable, to get p & qy p <-> qy p v qy and p -> q.",155,137,5 The Lambda Operator,No info,No info,order appropriate translation conjunction formula different propositional variable get
4250,"These propositional functions are turned into expressions of the correct type (i.e. <t,<t,t») by using the lambda operator to bind the variables.",155,137,5 The Lambda Operator,No info,No info,propositional function expression correct type lambda operator bind variable
4251,This provides the revised translations of the connectives shown in (39).,155,137,5 The Lambda Operator,No info,No info,revised translation connective
4252,(39) a.,155,137,5 The Lambda Operator,No info,No info,
4253,b.,155,137,5 The Lambda Operator,No info,No info,
4254,c.,155,137,5 The Lambda Operator,No info,No info,
4255,d.,155,137,5 The Lambda Operator,No info,No info,
4256,and => Xp [Aq [p & q]].,155,137,5 The Lambda Operator,No info,No info,
4257,or => Xp [Xq [p v q]].,155,137,5 The Lambda Operator,No info,No info,
4258,if =»A.p[Aq[p-»q]].,155,137,5 The Lambda Operator,No info,No info,
4259,"if, and only if => Xp [Xq [p <-> q]].",155,137,5 The Lambda Operator,No info,No info,
4260,Adopting these translations allows the translation of rule 19G2 to combine the translations of the conjunction and the clause it combines with simply by functional application.,155,137,5 The Lambda Operator,No info,No info,translation translation rule translation conjunction clause functional application
4261,"The translation rule in (4O.a) thus induces translations like Xp [Xq [p v q]](laugh '(ethel')) for the phrase or Ethel laughed, and Xp [Xq [p —> q]](rain') for If it rained, expressions which can be reduced by ^-conversion to",155,137,5 The Lambda Operator,No info,No info,translation rule translation laugh ethel phrase ethel laughed rain expression
4262,"Xq[laugh '(ethel') v q] and X q[rain' —» q], respectively.",155,137,5 The Lambda Operator,No info,No info,laugh ethel rain
4263,"It follows from this that the type of S[CONJ] must be <t,t> and so the translation of rule 18G2 results directly from the application of the translation of the sentence containing the co-ordinating morpheme to that of the higher sentence, yielding a full formula.",155,137,5 The Lambda Operator,No info,No info,type conj translation rule translation sentence morpheme higher sentence full formula
4264,The translation rules and appropriate type assignment appear in (40) and give rise to the translation tree in,155,137,5 The Lambda Operator,No info,No info,translation appropriate type assignment rise translation tree
4265,(41) which parallels the syntactic analysis in (37).,155,137,5 The Lambda Operator,No info,No info,parallel syntactic analysis
4266,The translation of the topmost sentence node in (41) can be simplified by lambda conversion to the expression in,155,137,5 The Lambda Operator,No info,No info,translation topmost sentence lambda conversion expression
4267,5 The lambda operator,156,138,5 The Lambda Operator,No info,No info,lambda operator
4268,"(42.c), the latter being identical to the LP translation of the same sentence.",156,138,5 The Lambda Operator,No info,No info,latter identical translation sentence
4269,The fact that the order of the formulae is permuted in these examples from the order found in previous chapters is semantically insignificant because of the commutativity of v and,156,138,5 The Lambda Operator,No info,No info,fact order formula example order previous chapter insignificant commutativity
4270,"&, as discussed in Chapter 3.",156,138,5 The Lambda Operator,No info,No info,
4271,(40) a.,156,138,5 The Lambda Operator,No info,No info,
4272,b.,156,138,5 The Lambda Operator,No info,No info,
4273,c.,156,138,5 The Lambda Operator,No info,No info,
4274,T19G2: CONJ'(S').,156,138,5 The Lambda Operator,No info,No info,conj
4275,TYPE(S[CONJ]) =,156,138,5 The Lambda Operator,No info,No info,type conj
4276,T18G2: S[CONJ]'(S').,156,138,5 The Lambda Operator,No info,No info,conj
4277,(Xp [Xq [p V q]]~(laugh'(ether)))((eat'(the-cake'))(the-dog>)),156,138,5 The Lambda Operator,No info,No info,ether eat
4278,(eat' (the-cake' ))(the-dog')),156,138,5 The Lambda Operator,No info,No info,
4279,Xp[Xq[pVq]],156,138,5 The Lambda Operator,No info,No info,
4280,(42) a.,156,138,5 The Lambda Operator,No info,No info,
4281,b.,156,138,5 The Lambda Operator,No info,No info,
4282,c.,156,138,5 The Lambda Operator,No info,No info,
4283,Xp [Xq [p V q]]~(laugh'(ethel')),156,138,5 The Lambda Operator,No info,No info,laugh ethel
4284,-(laugh '(ethel')),156,138,5 The Lambda Operator,No info,No info,laugh ethel
4285,(Xp [Xq [p v q]]~(laugh'(ether)))((eat'(the-cake'))(the-dog')).,156,138,5 The Lambda Operator,No info,No info,ether eat
4286,» Xq [-(laugh'(ethel')) v q]((eat'(the-cake'))(the-dog')).,156,138,5 The Lambda Operator,No info,No info,laugh ethel eat
4287,» [-(laugh'(ethel')) v (eat'(the-cake')Xthe-dog')].,156,138,5 The Lambda Operator,No info,No info,laugh ethel eat
4288,A further example of this approach is shown in the analysis tree of the sentence,156,138,5 The Lambda Operator,No info,No info,approach analysis tree sentence
4289,It rained if it didn 't snow in (45).,156,138,5 The Lambda Operator,No info,No info,snow
4290,"This tree assumes a negative counterpart of the rule introducing impersonal verbs, i.e. S —> it didn't V0[-FIN] which translates as ~(V0)",156,138,5 The Lambda Operator,No info,No info,tree negative counterpart rule impersonal verb translates
4291,(call this rule 9'G2).,156,138,5 The Lambda Operator,No info,No info,call rule
4292,"Again although the translation of the topmost sentence node looks complicated, it reduces to the more familiar logical expression in (43.c).",156,138,5 The Lambda Operator,No info,No info,translation topmost sentence complicated reduces familiar logical expression
4293,(43) a.,156,138,5 The Lambda Operator,No info,No info,
4294,b.,156,138,5 The Lambda Operator,No info,No info,
4295,c.,156,138,5 The Lambda Operator,No info,No info,
4296,(Xp [Xq [p -> q]](-snow'))(rain').,156,138,5 The Lambda Operator,No info,No info,rain
4297,» Xq [-snow' —> q](rain').,156,138,5 The Lambda Operator,No info,No info,rain
4298,» -snow' -»rain'.,156,138,5 The Lambda Operator,No info,No info,rain
4299,The grammar does not yet contain a rule for generating sentences containing if...then.,156,138,5 The Lambda Operator,No info,No info,grammar rule sentence
4300,"For the sake of completeness, this is remedied by the rules in (44), which specifically mention the appropriate morphemes.",156,138,5 The Lambda Operator,No info,No info,sake completeness remedied rule appropriate morpheme
4301,A more elegant solution could be proposed but this is sufficient for our purposes.,156,138,5 The Lambda Operator,No info,No info,elegant solution sufficient purpose
4302,(44) a.,156,138,5 The Lambda Operator,No info,No info,
4303,b.,156,138,5 The Lambda Operator,No info,No info,
4304,c.,156,138,5 The Lambda Operator,No info,No info,
4305,"20G,: S -> S[if] S[then].",156,138,5 The Lambda Operator,No info,No info,
4306,21G 2 :S[if]-»ifS.,156,138,5 The Lambda Operator,No info,No info,ifs
4307,22G2: S[then] -> then S.,156,138,5 The Lambda Operator,No info,No info,
4308,Reviewing co-ordination,157,139,5 The Lambda Operator,No info,No info,
4309,(Xp [Xq [p -> q]](~snow'))(rain'),157,139,5 The Lambda Operator,No info,No info,rain
4310,S[CONJ],157,139,5 The Lambda Operator,No info,No info,conj
4311,Xp [Iq [p -> q]](~snow'),157,139,5 The Lambda Operator,No info,No info,
4312,VQ[+FIN] rain',157,139,5 The Lambda Operator,No info,No info,rain
4313,CONJ,157,139,5 The Lambda Operator,No info,No info,conj
4314,^P \ rained if,157,139,5 The Lambda Operator,No info,No info,
4315,It didn't,157,139,5 The Lambda Operator,No info,No info,
4316,VQ[-FIN] snow snow,157,139,5 The Lambda Operator,No info,No info,snow snow
4317,"Assuming that the sentences generated by these rules are truth-conditionally equivalent to those generated by rules 17G2 and 18G2, where CONJ rewrites as //, we get the translation rules in (46).",157,139,5 The Lambda Operator,No info,No info,sentence rule equivalent rule conj translation rule
4318,(46) a.,157,139,5 The Lambda Operator,No info,No info,
4319,b.,157,139,5 The Lambda Operator,No info,No info,
4320,c.,157,139,5 The Lambda Operator,No info,No info,
4321,T20G2: S[if]'(S[then]').,157,139,5 The Lambda Operator,No info,No info,
4322,T21G2: if (S').,157,139,5 The Lambda Operator,No info,No info,
4323,T22G2: then'(S').,157,139,5 The Lambda Operator,No info,No info,
4324,"The translation rule for 22G2 assumes that the expression then is also translated and so interpreted, just as if it were an ordinary conjunction morpheme.",157,139,5 The Lambda Operator,No info,No info,translation rule expression ordinary conjunction morpheme
4325,"Unlike the others, however, the word then does not add any semantic information to the sentence.",157,139,5 The Lambda Operator,No info,No info,others word semantic information sentence
4326,"It should, therefore, be given a translation (and interpretation) that reflects this.",157,139,5 The Lambda Operator,No info,No info,translation interpretation
4327,"According to the translation rules in (46), then' combines with a formula to yield an expression that forms an argument to if(S').",157,139,5 The Lambda Operator,No info,No info,translation rule formula yield expression form argument
4328,"The latter, as we have already seen, is an expression of type <t,t> and so S[then] must be a formula and then' must therefore be an expression of type <t,t>, as well.",157,139,5 The Lambda Operator,No info,No info,latter expression type type
4329,Expressions of this type denote functions from truth values to truth values.,157,139,5 The Lambda Operator,No info,No info,expression type denote function truth value truth value
4330,One of the four possible functions of this sort is the one that maps falsity onto falsity and truth onto truth as shown in (47).,157,139,5 The Lambda Operator,No info,No info,possible function map falsity falsity truth truth
4331,"This function, which is called the identity function over truth values because it maps a truth value onto itself, is denoted by a lambda expression of type <t,t> that applies to a formula to give an expression that is truth-conditionally equivalent to the argument formula.",157,139,5 The Lambda Operator,No info,No info,function identity function truth value map truth value lambda expression type formula expression equivalent argument formula
4332,This expression is Xp [p] which applies to a formula like crazy'(etheV) to give,157,139,5 The Lambda Operator,No info,No info,expression formula crazy ethev
4333,5 The lambda operator,158,140,5 The Lambda Operator,No info,No info,lambda operator
4334,"Xp[p](crazy'(ethel')), an expression that ^-converts into crazy'(etheU).",158,140,5 The Lambda Operator,No info,No info,crazy ethel expression crazy etheu
4335,"This truth-conditionally empty expression, which denotes the function represented in (47), thus provides an appropriate translation of the meaningless element then.",158,140,5 The Lambda Operator,No info,No info,empty expression function appropriate translation meaningless element
4336,[Xp [p]]M*,158,140,5 The Lambda Operator,No info,No info,
4337,"As an example of the way the rules and translations in (44) and (46) work, the derivation of the sentence If it didn't snow, then it rained is given in (48).",158,140,5 The Lambda Operator,No info,No info,way rule translation work derivation sentence snow
4338,"The translation, as can be seen from the lambda conversion equivalents, turns out to be truth-conditionally synonymous with It rained, if it didn't snow, as desired.",158,140,5 The Lambda Operator,No info,No info,translation lambda conversion equivalent turn synonymous snow
4339,(48) a.,158,140,5 The Lambda Operator,No info,No info,
4340,b.,158,140,5 The Lambda Operator,No info,No info,
4341,c.,158,140,5 The Lambda Operator,No info,No info,
4342,d.,158,140,5 The Lambda Operator,No info,No info,
4343,e.,158,140,5 The Lambda Operator,No info,No info,
4344,f.,158,140,5 The Lambda Operator,No info,No info,
4345,g.,158,140,5 The Lambda Operator,No info,No info,
4346,h.,158,140,5 The Lambda Operator,No info,No info,
4347,i.,158,140,5 The Lambda Operator,No info,No info,
4348,j.,158,140,5 The Lambda Operator,No info,No info,
4349,S,158,140,5 The Lambda Operator,No info,No info,
4350,=>S\,158,140,5 The Lambda Operator,No info,No info,
4351,S[if] S[then],158,140,5 The Lambda Operator,No info,No info,
4352,=> S[if]'(S[then]').,158,140,5 The Lambda Operator,No info,No info,
4353,ifSS[then],158,140,5 The Lambda Operator,No info,No info,ifss
4354,=> (Ap [Xq [p -> q]](S'))(S[then]').,158,140,5 The Lambda Operator,No info,No info,
4355,if S then S if it didn't V0[-FIN] then S,158,140,5 The Lambda Operator,No info,No info,
4356,=> (Ap [Xq [p -> q]](~V0'))(Xr [r](S')).,158,140,5 The Lambda Operator,No info,No info,
4357,if it didn't V0[-FIN] then it V0[+FIN],158,140,5 The Lambda Operator,No info,No info,
4358,=» (Ap [Xq [p -> q]](~V0'))(Xr [r](V0')).,158,140,5 The Lambda Operator,No info,No info,
4359,if it didn't snow then it rained,158,140,5 The Lambda Operator,No info,No info,snow
4360,=> (Ap [Xq [p -> q]](~snow'))(Xr [r](rain')),158,140,5 The Lambda Operator,No info,No info,rain
4361,"» Xq [(-snow') —> q](A,r [r](rain'))",158,140,5 The Lambda Operator,No info,No info,rain
4362,» [(-snow') -> (Xr [r](rain'))],158,140,5 The Lambda Operator,No info,No info,rain
4363,» [(-snow') -» (rain')].,158,140,5 The Lambda Operator,No info,No info,rain
4364,20G2,158,140,5 The Lambda Operator,No info,No info,
4365,"21G,",158,140,5 The Lambda Operator,No info,No info,
4366,"22G,",158,140,5 The Lambda Operator,No info,No info,
4367,9'G2,158,140,5 The Lambda Operator,No info,No info,
4368,"9'G,",158,140,5 The Lambda Operator,No info,No info,
4369,Lex,158,140,5 The Lambda Operator,No info,No info,lex
4370,Exercise 5.11:,158,140,5 The Lambda Operator,No info,No info,exercise
4371,"Translate the following formulae into L ^ using grammar G2, giving the full translations and their converted equivalents: i.",158,140,5 The Lambda Operator,No info,No info,formula grammar full translation equivalent
4372,ii.,158,140,5 The Lambda Operator,No info,No info,
4373,The dog ate the cake and the cake poisoned the dog.,158,140,5 The Lambda Operator,No info,No info,dog cake cake dog
4374,Ethel was crazy or the student didn't like Ethel and Chester didn't like,158,140,5 The Lambda Operator,No info,No info,ethel crazy student ethel chester
4375,"Ethel, iii.",158,140,5 The Lambda Operator,No info,No info,ethel iii
4376,"Jo laughed, if Chester howled or the cat yowled.",158,140,5 The Lambda Operator,No info,No info,chester cat
4377,The truth-conditional connectives are interpreted in the same way as in Chapter,158,140,5 The Lambda Operator,No info,No info,connective way
4378,"3 and, as in the model theory of that chapter, the truth-conditions of compound formulae are specified directly in the model theory used to interpret L^pe.",158,140,5 The Lambda Operator,No info,No info,model theory compound formula model theory interpret
4379,"The full specification of this theory in (49) includes clauses for interpreting lambda abstraction and negation, as well as for functional application and the connectives.",158,140,5 The Lambda Operator,No info,No info,full specification theory clause lambda abstraction negation well functional application connective
4380,This will,158,140,5 The Lambda Operator,No info,No info,
4381,"Reviewing co-ordination remain the basis of the interpretation procedure throughout the rest of the book, just as Ltype will remain the basis of the translation language.",159,141,5 The Lambda Operator,No info,No info,basis interpretation procedure rest book ltype basis translation language
4382,"There will, however, be additions to the theory in later chapters as more data are covered.",159,141,5 The Lambda Operator,No info,No info,addition theory chapter data
4383,"Given a model, M = «A,F» and assignment of values to variables g, then:",159,141,5 The Lambda Operator,No info,No info,model assignment value variable
4384,"For any item a in the lexicon, [a] M «= F(a ).",159,141,5 The Lambda Operator,No info,No info,item lexicon
4385,"If a is of type a a n d / is of <a,b>, then \f(a)]M* = (/]M<[tf]M<8).",159,141,5 The Lambda Operator,No info,No info,type
4386,"If u is a variable of type a and 0 an expression of type b containing a free occurrence of u, then [Xu/<t> ]] M 8 is that function h from Da into Db such that for all objects, a in Da, h(a) is [c|)]M8a/u.",159,141,5 The Lambda Operator,No info,No info,variable type expression type free occurrence function object
4387,If <>,159,141,5 The Lambda Operator,No info,No info,
4388,"| is a formula, then [~(<t>)]M* is 1, iff [c|)]M-8 is 0.",159,141,5 The Lambda Operator,No info,No info,formula
4389,"Otherwise, [~((|>)]M-8 is 0.",159,141,5 The Lambda Operator,No info,No info,
4390,"If (|> and \\f are formulae, then [(|) & \j/]M« is 1, iff [(|>]M'8 is 1 and [\|/]M8 is 1.",159,141,5 The Lambda Operator,No info,No info,formula
4391,"Otherwise, [$ & \\f]M* is 0.",159,141,5 The Lambda Operator,No info,No info,
4392,"If (() and \\f are formulae, then [<() v \j/]M-8 is 1, iff [<|)]M'8 is 1 or [\j/]M-8 is 1.",159,141,5 The Lambda Operator,No info,No info,formula
4393,"Otherwise, [$ v \|/]M<8 is 0.",159,141,5 The Lambda Operator,No info,No info,
4394,"If ()) and \|/ are formulae, then [(() —> \|/] M s is 1, iff [<|)]M'8 is 0 or [\\f]M<& is 1.",159,141,5 The Lambda Operator,No info,No info,formula
4395,"Otherwise, [(|) -> \j/]M•« is 0.",159,141,5 The Lambda Operator,No info,No info,
4396,"If (() and \j/ are formulae, then [()) <-^ \j/]M 8 is 1, iff [c))]M-s is [\j/]Ms. Otherwise,",159,141,5 The Lambda Operator,No info,No info,formula
4397,[()) <-> \j/]M'8 is 0.,159,141,5 The Lambda Operator,No info,No info,
4398,"As discussed in Chapter 3, the meanings of the connectives are specified directly in the model theory above because their interpretation does not vary from model to model.",159,141,5 The Lambda Operator,No info,No info,connective model theory interpretation vary model model
4399,"Their interpretations can, however, be modelled as functions in the same way as other denotations in the grammar.",159,141,5 The Lambda Operator,No info,No info,interpretation function way denotation grammar
4400,"For example, \p [Xq [p & q]] is that function that when given a true formula yields a function which yields truth when given another true formula and yields falsity on all other occasions.",159,141,5 The Lambda Operator,No info,No info,true formula yield function yield truth true formula yield falsity occasion
4401,"The functions denoted by all the connectives, &, v ,—>,<-> and ~, are set out diagrammatically in (50) to",159,141,5 The Lambda Operator,No info,No info,function connective set
4402,(54) and provide precisely the same information as the truth tables of Chapter 3.,159,141,5 The Lambda Operator,No info,No info,information truth table
4403,Xp[X,159,141,5 The Lambda Operator,No info,No info,
4404,5 The lambda operator,160,142,5 The Lambda Operator,No info,No info,lambda operator
4405,Xp[Xq[pvq]],160,142,5 The Lambda Operator,No info,No info,
4406,"W,",160,142,5 The Lambda Operator,No info,No info,
4407,-a,160,142,5 The Lambda Operator,No info,No info,
4408,>fc,160,142,5 The Lambda Operator,No info,No info,
4409,A,160,142,5 The Lambda Operator,No info,No info,
4410,W,160,142,5 The Lambda Operator,No info,No info,
4411,A,160,142,5 The Lambda Operator,No info,No info,
4412,1 n,160,142,5 The Lambda Operator,No info,No info,
4413,">fc,",160,142,5 The Lambda Operator,No info,No info,
4414,"W,",160,142,5 The Lambda Operator,No info,No info,
4415,A,160,142,5 The Lambda Operator,No info,No info,
4416,_^,160,142,5 The Lambda Operator,No info,No info,
4417,Reviewing co-ordination,161,143,5 The Lambda Operator,No info,No info,
4418,~p,161,143,5 The Lambda Operator,No info,No info,
4419,Co-ordinating other categories,161,143,5 The Lambda Operator,No info,No info,category
4420,"In the last section, sentential co-ordination was (re-)introduced into the grammar, but the lambda operator allows an extension of the grammar to include some types of NP and VP co-ordination, while still maintaining a propositional interpretation of the conjunctions themselves.",161,143,5 The Lambda Operator,No info,No info,last sentential grammar lambda operator extension grammar type propositional interpretation conjunction
4421,"The sorts of VP and NP co-ordination that we can now handle are those like (55.a & b) which are truth-conditionally identical to the sentences in (55.c & d), respectively.",161,143,5 The Lambda Operator,No info,No info,identical sentence
4422,(55) a.,161,143,5 The Lambda Operator,No info,No info,
4423,b.,161,143,5 The Lambda Operator,No info,No info,
4424,c.,161,143,5 The Lambda Operator,No info,No info,
4425,d.,161,143,5 The Lambda Operator,No info,No info,
4426,Jo loathed the dog and liked the cat.,161,143,5 The Lambda Operator,No info,No info,loathed dog cat
4427,The student and the lecturer loathed Chester.,161,143,5 The Lambda Operator,No info,No info,student lecturer chester
4428,Jo loathed the dog and Jo liked the cat.,161,143,5 The Lambda Operator,No info,No info,loathed dog cat
4429,The student loathed Chester and the lecturer loathed Chester.,161,143,5 The Lambda Operator,No info,No info,student chester lecturer chester
4430,The phrase structure rules to generate VPs and NPs conjoined by and and or are relatively straightforward and the appropriate rules are given in (56).,161,143,5 The Lambda Operator,No info,No info,phrase structure rule generate vps np straightforward appropriate rule
4431,"In these rules,",161,143,5 The Lambda Operator,No info,No info,rule
4432,(p stands for any features associated with the VP (e.g. [+/-FIN]) which are passed down onto both conjuncts and the PL marking on the mother NP node is for agreement purposes.,161,143,5 The Lambda Operator,No info,No info,feature conjuncts mother node agreement purpose
4433,"In the latter case, conjunction is restricted to subject NPs (again to avoid unnecessary confusion) and so some slight revision needs to be made to rule",161,143,5 The Lambda Operator,No info,No info,latter conjunction subject np avoid unnecessary confusion slight revision need rule
4434,1G2 to allow for singular and plural verbs.,161,143,5 The Lambda Operator,No info,No info,singular plural verb
4435,"The revised Rule 1G2 appears in (56.e), but the other revisions to make sure that the right forms of verbs appear in the right places are again left as an exercise for the reader.",161,143,5 The Lambda Operator,No info,No info,rule revision sure right form verb right place exercise reader
4436,Because the conjunctions if and if and only if do not appear in VP and NP co-ordination the rules must be restricted to the conjunctions and and or which can be done by specifying the value of the conjunction.,161,143,5 The Lambda Operator,No info,No info,conjunction rule conjunction value conjunction
4437,(56) a.,161,143,5 The Lambda Operator,No info,No info,
4438,b.,161,143,5 The Lambda Operator,No info,No info,
4439,c.,161,143,5 The Lambda Operator,No info,No info,
4440,d.,161,143,5 The Lambda Operator,No info,No info,
4441,e.,161,143,5 The Lambda Operator,No info,No info,
4442,"23G2: VP[q>] -» VP[<p] VP[cp,CONJ:a] a e {and, or}.",161,143,5 The Lambda Operator,No info,No info,conj
4443,"24G2: NP[+PL] -> NP NP[CONJ:a] a e {and, or}.",161,143,5 The Lambda Operator,No info,No info,conj
4444,"25G2: VP[cp,CONJ:a] -> a VP[q>].",161,143,5 The Lambda Operator,No info,No info,conj
4445,26G2: NP[CONJ:a] -> a NP.,161,143,5 The Lambda Operator,No info,No info,conj
4446,"1' G2: S -> NP[aPL] VP[+FIN,aPL].",161,143,5 The Lambda Operator,No info,No info,apl apl
4447,Since the truth-conditions of sentences like (55.a & b) are identical to those of,161,143,5 The Lambda Operator,No info,No info,sentence identical
4448,"(55.c & d), respectively, the conjunctions and and or should have the same interpretation in sentences containing NP and VP co-ordination as in sentential co-ordination.",161,143,5 The Lambda Operator,No info,No info,conjunction interpretation sentence sentential
4449,But this gives rise to a problem in the translation of rule 23G2 and,161,143,5 The Lambda Operator,No info,No info,rise problem translation rule
4450,"24G 2 :the conjunctions are of type <t,<t,t» and so cannot directly combine with expressions of type <e,t> (the type of a VP) or of type e (the type of a NP).",161,143,5 The Lambda Operator,No info,No info,conjunction type expression type type type type
4451,To see,161,143,5 The Lambda Operator,No info,No info,
4452,"5 The lambda operator how the lambda operator can solve this apparent problem, let us work through the analysis of (55.a) backwards, as it were, undoing lambda conversions as we go along.",162,144,5 The Lambda Operator,No info,No info,lambda operator lambda operator apparent problem analysis lambda conversion
4453,First of all here is the syntactic analysis of the sentence according to G2.,162,144,5 The Lambda Operator,No info,No info,first syntactic analysis sentence
4454,(The numerical subscripts on the VP nodes are for ease of reference.),162,144,5 The Lambda Operator,No info,No info,numerical subscript ease reference
4455,NP[-PL],162,144,5 The Lambda Operator,No info,No info,
4456,Jo,162,144,5 The Lambda Operator,No info,No info,
4457,"Vt[+FIN,-PL] loathed",162,144,5 The Lambda Operator,No info,No info,
4458,NP[-PL] the,162,144,5 The Lambda Operator,No info,No info,
4459,N[-PL] dog and,162,144,5 The Lambda Operator,No info,No info,dog
4460,"VP4[+FIN,-PL]",162,144,5 The Lambda Operator,No info,No info,
4461,"Vt[+FIN,-PL] liked",162,144,5 The Lambda Operator,No info,No info,
4462,NP[-PL] the,162,144,5 The Lambda Operator,No info,No info,
4463,N[-PL] cat,162,144,5 The Lambda Operator,No info,No info,cat
4464,As mentioned above Jo loathed the dog and liked the cat is truth-conditionally equivalent to Jo loathed the dog and Jo liked the cat.,162,144,5 The Lambda Operator,No info,No info,mentioned loathed dog cat equivalent loathed dog cat
4465,"The translation of the latter sentence is shown in (58.a) and, because of the equivalence noted above, this translation can be analysed as the ^-converted equivalent of that of the S node in (57).",162,144,5 The Lambda Operator,No info,No info,translation latter sentence equivalence translation equivalent node
4466,"According to the translation rule T1G2, (58.a) must result from X-converting an expression derived from the application of the translation of VP! to that of the subject",162,144,5 The Lambda Operator,No info,No info,translation rule expression application translation subject
4467,NP as in (58.b).,162,144,5 The Lambda Operator,No info,No info,
4468,"Tofindthefirststage of the ^-conversion the result of which is shown in (58.b), the rule is applied backwards to (58.a) in order to arrive at an expression that is truth-conditionally equivalent to VPj.",162,144,5 The Lambda Operator,No info,No info,tofindthefirststage result rule backwards order expression equivalent vpj
4469,Since the argument of VP/ is jo\ each instance of the individual expression jo' in (58.a) is replaced by an individual variable x which is then abstracted on to give the expression in (59.c).,162,144,5 The Lambda Operator,No info,No info,argument instance individual expression individual variable expression
4470,This expression when applied to the argument jo* gives an expression equivalent to (58.a).,162,144,5 The Lambda Operator,No info,No info,expression argument expression equivalent
4471,(58) a.,162,144,5 The Lambda Operator,No info,No info,
4472,b.,162,144,5 The Lambda Operator,No info,No info,
4473,(loathe'(the-dog'))(jo') & (like'(the-cat'))(jo').,162,144,5 The Lambda Operator,No info,No info,loathe
4474,"VP,'(NP') = VPr(jo')",162,144,5 The Lambda Operator,No info,No info,vpr
4475,» (loathe*(the-dog'))(jo') & (like'(the-cat'))(jo').,162,144,5 The Lambda Operator,No info,No info,loathe
4476,Reviewing co-ordination,163,145,5 The Lambda Operator,No info,No info,
4477,"VP,'",163,145,5 The Lambda Operator,No info,No info,
4478,"» A,x [(loathe'(the-dog')Xx) & (like'(the-cat'))(x)].",163,145,5 The Lambda Operator,No info,No info,loathe
4479,"The syntax of the co-ordinate VP consists of two VPs, one of which contains a conjunction morpheme.",163,145,5 The Lambda Operator,No info,No info,syntax vps conjunction morpheme
4480,"In order to obtain the correct type for VPj ', the latter should translate into a functor over VP expressions, i.e. of type «e,t>,<e,t» so that the translation rule T23G2 must be derived from the application of VP[CONJ]' to VP' as shown in (6O.b).",163,145,5 The Lambda Operator,No info,No info,order correct type vpj latter translate functor expression type translation rule application conj
4481,"Thus, the expression in (59), translating VP,, must be derived from the application of VP3' to VP2 (cf. (6O.c)).",163,145,5 The Lambda Operator,No info,No info,expression translating application
4482,"Since VP2 translates directly into the expression loathe'(the-dog'), we can apply backwards X-conversion to (59) by replacing the latter with a variable P, of type <e,t>, and abstracting on this to give the expression in (6O.f), of type «e,t>,<e,t» as required.",163,145,5 The Lambda Operator,No info,No info,translates expression loathe apply latter variable type abstracting expression type
4483,(60) a.,163,145,5 The Lambda Operator,No info,No info,
4484,b.,163,145,5 The Lambda Operator,No info,No info,
4485,c.,163,145,5 The Lambda Operator,No info,No info,
4486,"TYPE(VP[CONJ:oc]') = «e,t>,<e,t».",163,145,5 The Lambda Operator,No info,No info,type conj
4487,T23G2: VP[CONJ:oc]'(VF).,163,145,5 The Lambda Operator,No info,No info,conj
4488,VP3[CONJ:and]'(VP2'),163,145,5 The Lambda Operator,No info,No info,conj
4489,» Xx [(loathe'(the-dog'))(x) & (like'(the-cat'))(x)].,163,145,5 The Lambda Operator,No info,No info,loathe
4490,d.,163,145,5 The Lambda Operator,No info,No info,
4491,VP2'=loathe'(the-dog').,163,145,5 The Lambda Operator,No info,No info,
4492,e.,163,145,5 The Lambda Operator,No info,No info,
4493,VP/,163,145,5 The Lambda Operator,No info,No info,
4494,» XP [Xx [P(x) & (like'(the-cat'))(x)]](loatheJ(the-dog0).,163,145,5 The Lambda Operator,No info,No info,loathej
4495,f.,163,145,5 The Lambda Operator,No info,No info,
4496,VP3[CONJ:and]',163,145,5 The Lambda Operator,No info,No info,conj
4497,» XP \Xx [P(x) & (like'(tne-cat'))(x)]].,163,145,5 The Lambda Operator,No info,No info,
4498,The translation in (6O.f) is derived in turn from the combination of the translations of the conjunction and and the VP liked the cat.,163,145,5 The Lambda Operator,No info,No info,translation combination translation conjunction cat
4499,The translation of the former is A/?,163,145,5 The Lambda Operator,No info,No info,translation former
4500,"[Xq [p & q]], as we have already seen, and that of VP4 is like'(the-cat').",163,145,5 The Lambda Operator,No info,No info,
4501,"However, because the type of the translation of the conjunction is <t,<t,t» and that of the VP is <e,t>, the combination of these expressions cannot result directly from the functional application of one expression to the other.",163,145,5 The Lambda Operator,No info,No info,type translation conjunction combination expression result functional application expression
4502,"Hence, the translation of the rule expanding VP[CONJ:oc], rule 25G2, must directly specify the way these translations are combined.",163,145,5 The Lambda Operator,No info,No info,translation rule conj rule way translation
